influencer_id,platform,date,URL,caption,reach,likes,comments
18,YouTube,2025-06-30 10:44:26.001776,https://post.url/0,Check out our new product! #0,72211,261,211
4,YouTube,2025-07-12 10:44:26.002782,https://post.url/1,Check out our new product! #1,33606,7729,736
8,Twitter,2025-07-05 10:44:26.003894,https://post.url/2,Check out our new product! #2,24247,8016,347
15,YouTube,2025-06-03 10:44:26.005177,https://post.url/3,Check out our new product! #3,87807,4959,197
13,Instagram,2025-06-15 10:44:26.006283,https://post.url/4,Check out our new product! #4,39044,2162,822
1,YouTube,2025-07-01 10:44:26.006283,https://post.url/5,Check out our new product! #5,41774,2668,353
1,YouTube,2025-06-12 10:44:26.006283,https://post.url/6,Check out our new product! #6,3695,9787,72
11,Twitter,2025-06-05 10:44:26.007451,https://post.url/7,Check out our new product! #7,40504,491,684
3,Instagram,2025-06-23 10:44:26.007451,https://post.url/8,Check out our new product! #8,13666,5992,499
7,Twitter,2025-05-29 10:44:26.008506,https://post.url/9,Check out our new product! #9,53251,6378,210
8,Twitter,2025-07-14 10:44:26.008506,https://post.url/10,Check out our new product! #10,53256,7315,512
5,Instagram,2025-06-21 10:44:26.008506,https://post.url/11,Check out our new product! #11,85651,8254,556
1,YouTube,2025-06-21 10:44:26.008506,https://post.url/12,Check out our new product! #12,9110,3940,14
14,YouTube,2025-06-17 10:44:26.008506,https://post.url/13,Check out our new product! #13,1206,5234,867
10,Twitter,2025-07-13 10:44:26.008506,https://post.url/14,Check out our new product! #14,51015,2890,250
20,YouTube,2025-06-24 10:44:26.010515,https://post.url/15,Check out our new product! #15,88939,1857,494
7,Twitter,2025-06-11 10:44:26.011020,https://post.url/16,Check out our new product! #16,68214,3342,550
4,YouTube,2025-07-13 10:44:26.011020,https://post.url/17,Check out our new product! #17,63623,3257,805
2,YouTube,2025-06-14 10:44:26.011020,https://post.url/18,Check out our new product! #18,65044,9889,962
6,YouTube,2025-06-28 10:44:26.011020,https://post.url/19,Check out our new product! #19,96259,3727,349
11,Twitter,2025-05-29 10:44:26.011020,https://post.url/20,Check out our new product! #20,76766,5692,240
1,YouTube,2025-07-25 10:44:26.013029,https://post.url/21,Check out our new product! #21,67842,6876,637
13,Instagram,2025-06-15 10:44:26.013029,https://post.url/22,Check out our new product! #22,10474,7626,719
8,Twitter,2025-06-29 10:44:26.014120,https://post.url/23,Check out our new product! #23,95856,4513,686
1,YouTube,2025-06-05 10:44:26.015349,https://post.url/24,Check out our new product! #24,14545,763,984
9,Instagram,2025-06-04 10:44:26.015349,https://post.url/25,Check out our new product! #25,55384,1953,506
20,YouTube,2025-07-14 10:44:26.017356,https://post.url/26,Check out our new product! #26,53733,7654,122
5,Instagram,2025-06-07 10:44:26.017356,https://post.url/27,Check out our new product! #27,94264,798,122
2,YouTube,2025-07-24 10:44:26.017356,https://post.url/28,Check out our new product! #28,1854,8264,745
1,YouTube,2025-07-25 10:44:26.017356,https://post.url/29,Check out our new product! #29,47717,5349,62
12,YouTube,2025-06-30 10:44:26.019363,https://post.url/30,Check out our new product! #30,27309,5635,256
4,YouTube,2025-06-01 10:44:26.019363,https://post.url/31,Check out our new product! #31,99506,4318,410
6,YouTube,2025-07-02 10:44:26.019363,https://post.url/32,Check out our new product! #32,53083,7877,207
11,Twitter,2025-06-08 10:44:26.019363,https://post.url/33,Check out our new product! #33,23671,8900,210
6,YouTube,2025-07-10 10:44:26.019363,https://post.url/34,Check out our new product! #34,16708,759,773
4,YouTube,2025-07-07 10:44:26.019363,https://post.url/35,Check out our new product! #35,35754,8438,157
7,Twitter,2025-06-04 10:44:26.021235,https://post.url/36,Check out our new product! #36,9680,3076,945
7,Twitter,2025-07-08 10:44:26.021235,https://post.url/37,Check out our new product! #37,12111,4836,788
18,YouTube,2025-07-03 10:44:26.022544,https://post.url/38,Check out our new product! #38,22918,4161,307
3,Instagram,2025-07-19 10:44:26.022544,https://post.url/39,Check out our new product! #39,47843,6387,355
16,YouTube,2025-05-30 10:44:26.024549,https://post.url/40,Check out our new product! #40,17371,2149,906
16,YouTube,2025-07-14 10:44:26.024549,https://post.url/41,Check out our new product! #41,21932,3208,169
9,Instagram,2025-06-15 10:44:26.024549,https://post.url/42,Check out our new product! #42,43642,2355,140
20,YouTube,2025-07-02 10:44:26.026555,https://post.url/43,Check out our new product! #43,60040,1748,977
4,YouTube,2025-06-18 10:44:26.026555,https://post.url/44,Check out our new product! #44,54351,8545,236
16,YouTube,2025-07-01 10:44:26.028561,https://post.url/45,Check out our new product! #45,83018,2300,870
18,YouTube,2025-06-10 10:44:26.028561,https://post.url/46,Check out our new product! #46,78505,2969,172
16,YouTube,2025-06-15 10:44:26.028561,https://post.url/47,Check out our new product! #47,95179,8452,589
1,YouTube,2025-07-12 10:44:26.028561,https://post.url/48,Check out our new product! #48,92412,5011,925
8,Twitter,2025-07-19 10:44:26.030566,https://post.url/49,Check out our new product! #49,87416,4835,42
16,YouTube,2025-07-14 10:44:26.032570,https://post.url/50,Check out our new product! #50,41818,3546,31
14,YouTube,2025-06-26 10:44:26.036583,https://post.url/51,Check out our new product! #51,80909,3536,572
8,Twitter,2025-06-29 10:44:26.036583,https://post.url/52,Check out our new product! #52,31746,325,286
1,YouTube,2025-06-28 10:44:26.036583,https://post.url/53,Check out our new product! #53,40790,9251,490
5,Instagram,2025-06-08 10:44:26.036583,https://post.url/54,Check out our new product! #54,46714,7783,556
17,YouTube,2025-07-09 10:44:26.036583,https://post.url/55,Check out our new product! #55,57491,9535,167
14,YouTube,2025-06-03 10:44:26.038590,https://post.url/56,Check out our new product! #56,44525,1160,289
17,YouTube,2025-06-10 10:44:26.038590,https://post.url/57,Check out our new product! #57,46236,706,108
1,YouTube,2025-06-04 10:44:26.038590,https://post.url/58,Check out our new product! #58,66726,1080,937
1,YouTube,2025-07-23 10:44:26.038590,https://post.url/59,Check out our new product! #59,27641,1916,744
3,Instagram,2025-06-16 10:44:26.040598,https://post.url/60,Check out our new product! #60,52885,3963,635
15,YouTube,2025-07-04 10:44:26.040598,https://post.url/61,Check out our new product! #61,19070,3109,648
10,Twitter,2025-07-24 10:44:26.040598,https://post.url/62,Check out our new product! #62,46017,884,113
1,YouTube,2025-07-17 10:44:26.040598,https://post.url/63,Check out our new product! #63,79069,7443,48
10,Twitter,2025-06-01 10:44:26.040598,https://post.url/64,Check out our new product! #64,50689,6086,827
13,Instagram,2025-05-29 10:44:26.042605,https://post.url/65,Check out our new product! #65,90912,4880,29
1,YouTube,2025-07-18 10:44:26.042605,https://post.url/66,Check out our new product! #66,7655,8273,409
14,YouTube,2025-07-14 10:44:26.042605,https://post.url/67,Check out our new product! #67,88922,6714,152
2,YouTube,2025-07-24 10:44:26.042605,https://post.url/68,Check out our new product! #68,11966,953,60
17,YouTube,2025-06-04 10:44:26.044613,https://post.url/69,Check out our new product! #69,71313,3954,63
11,Twitter,2025-06-19 10:44:26.044613,https://post.url/70,Check out our new product! #70,81135,3224,581
12,YouTube,2025-06-12 10:44:26.044613,https://post.url/71,Check out our new product! #71,88142,5415,783
13,Instagram,2025-06-24 10:44:26.044613,https://post.url/72,Check out our new product! #72,57179,4242,876
8,Twitter,2025-06-04 10:44:26.044613,https://post.url/73,Check out our new product! #73,95476,4565,645
10,Twitter,2025-06-26 10:44:26.046315,https://post.url/74,Check out our new product! #74,92794,4852,129
19,YouTube,2025-06-28 10:44:26.046315,https://post.url/75,Check out our new product! #75,26945,9032,483
9,Instagram,2025-07-14 10:44:26.046315,https://post.url/76,Check out our new product! #76,75740,1764,67
1,YouTube,2025-06-09 10:44:26.046315,https://post.url/77,Check out our new product! #77,47175,7905,127
16,YouTube,2025-07-01 10:44:26.046315,https://post.url/78,Check out our new product! #78,46543,7504,894
1,YouTube,2025-07-10 10:44:26.048324,https://post.url/79,Check out our new product! #79,14500,4170,713
5,Instagram,2025-07-04 10:44:26.049858,https://post.url/80,Check out our new product! #80,60638,8230,85
16,YouTube,2025-06-05 10:44:26.052063,https://post.url/81,Check out our new product! #81,14284,7353,706
14,YouTube,2025-06-28 10:44:26.052063,https://post.url/82,Check out our new product! #82,55340,2241,759
20,YouTube,2025-07-21 10:44:26.054070,https://post.url/83,Check out our new product! #83,96435,6717,441
7,Twitter,2025-06-20 10:44:26.057475,https://post.url/84,Check out our new product! #84,63752,7521,743
5,Instagram,2025-07-03 10:44:26.057475,https://post.url/85,Check out our new product! #85,24049,2949,189
10,Twitter,2025-05-29 10:44:26.058548,https://post.url/86,Check out our new product! #86,10823,9307,334
13,Instagram,2025-07-22 10:44:26.059680,https://post.url/87,Check out our new product! #87,28663,2939,345
2,YouTube,2025-06-07 10:44:26.059680,https://post.url/88,Check out our new product! #88,50115,9187,169
20,YouTube,2025-07-02 10:44:26.059680,https://post.url/89,Check out our new product! #89,60275,6933,684
1,YouTube,2025-06-23 10:44:26.060813,https://post.url/90,Check out our new product! #90,71588,2838,436
5,Instagram,2025-07-14 10:44:26.060813,https://post.url/91,Check out our new product! #91,98856,5636,177
10,Twitter,2025-06-13 10:44:26.060813,https://post.url/92,Check out our new product! #92,90643,4480,406
12,YouTube,2025-06-25 10:44:26.060813,https://post.url/93,Check out our new product! #93,4373,9045,44
17,YouTube,2025-06-30 10:44:26.062058,https://post.url/94,Check out our new product! #94,26351,6848,931
10,Twitter,2025-06-30 10:44:26.062058,https://post.url/95,Check out our new product! #95,77797,517,124
9,Instagram,2025-07-19 10:44:26.062058,https://post.url/96,Check out our new product! #96,4267,925,510
18,YouTube,2025-06-11 10:44:26.063154,https://post.url/97,Check out our new product! #97,12338,512,385
4,YouTube,2025-07-01 10:44:26.063154,https://post.url/98,Check out our new product! #98,61692,7264,770
